sample_id,target,period,document_index,token_index,context
contemplation_nn-1960-2010-01,contemplation_nn,1960-2010,15465,37,of a booth elena on one side of the glass he on the other two stranger trap in their silent [contemplation] of each other
contemplation_nn-1960-2010-02,contemplation_nn,1960-2010,296446,16,yet president kennedy this year urge not merely a holiday from labor but a day of [contemplation] point out that awesome peril remain to be face
contemplation_nn-1960-2010-03,contemplation_nn,1960-2010,315978,55,post-scarcity abundance ecological soundness col-lective orientation individual control authenticity sensuality synthesis conflict pleasure hard work interdependency sadness pleasure intuition laziness [contemplation] anger bionics good health change death love community isolation trust ease okness awkwardness ecstasy
contemplation_nn-1960-2010-04,contemplation_nn,1960-2010,339428,34,-- the portrait of a summer-frocked woman who stand in a sunlit rose arbor with her head tilt in dreamy [contemplation] seem to klinger a lifelong bachelor to embody the essence of femininity -- when it occur to him that there
donkey_nn-1810-1860-01,donkey_nn,1810-1860,12896,29,into a most refreshing solemnity remind you of some strange creation of fabulous history link the prominent characteristic of the [donkey] and the owl
donkey_nn-1810-1860-02,donkey_nn,1810-1860,71875,18,but tender and delicate as she look she would have walk by the side of e2 /z/ her [donkey] and tired down the strong man
donkey_nn-1810-1860-03,donkey_nn,1810-1860,142277,0,[donkey] bear pannier stuff out with kitchen vegetable and require an ample roadway roughly shoulder aside the throng
donkey_nn-1810-1860-04,donkey_nn,1810-1860,153530,2,domenico the [donkey] bring now for our ride
donkey_nn-1960-2010-01,donkey_nn,1960-2010,48228,12,if only jesus have n't already ride off on one of those [donkey] he seem to have commandeer
donkey_nn-1960-2010-02,donkey_nn,1960-2010,49833,37,employ a georgian man 's choir a berber woman 's choir gypsy and a menagerie of 12 breed of horse [donkey] and goose all perform together in harmony pigeon and pencil a commission symphonic work perform by young musician from antwerp
donkey_nn-1960-2010-03,donkey_nn,1960-2010,313397,11,but the governor run afoul a recalcitrant coy and a balky [donkey]
donkey_nn-1960-2010-04,donkey_nn,1960-2010,352560,1,a [donkey] pull a heavily load wooden cart press her into the roughly textured coral rag
edge_nn-1810-1860-01,edge_nn,1810-1860,119744,42,buy him a small farm and when we get to buffalo we strike down south and settle just on the [edge] of lake erie
edge_nn-1810-1860-02,edge_nn,1810-1860,155676,11,hold out his hand cant you let a fellow see the [edge]
edge_nn-1810-1860-03,edge_nn,1810-1860,197345,6,the minstrel 's side be all [edge] today say media
edge_nn-1810-1860-04,edge_nn,1810-1860,243346,11,another chisel draught be then make along one of the adjacent [edge] as b c and the end of the two be connect by another draught as ac a fourth draught be
edge_nn-1960-2010-01,edge_nn,1960-2010,136242,10,i take my hand away and sit up on the [edge] of the bed stare
edge_nn-1960-2010-02,edge_nn,1960-2010,180222,21,look at me her eye bright with ambivalence love or affectionor perhaps only nostalgia and cut through that tenderness an [edge] of hatred
edge_nn-1960-2010-03,edge_nn,1960-2010,225790,24,seam arc form with one of the following combination of contour on the scant edge of each piece 1 concave [edge] seam to another concave edge 2 convex edge seam to another convex edge 3 concave edge seam to a convex
edge_nn-1960-2010-04,edge_nn,1960-2010,324674,13,financial company believe online banking will lower transaction cost and give them an [edge] over competitor
face_nn-1810-1860-01,face_nn,1810-1860,22426,12,edward do not add to your guilt by deny it in the [face] of these proof say his father
face_nn-1810-1860-02,face_nn,1810-1860,136217,5,he gaze in henry 's [face] then around the room at the fire and again on the young man 's face and the muscle of his
face_nn-1810-1860-03,face_nn,1810-1860,188309,17,come hither ' say i take her hand gently and draw her to me so that my [face] be just opposite her bosom
face_nn-1810-1860-04,face_nn,1810-1860,218324,14,then it can n't be very bad exclaim susan the cloud vanish from her [face] she seize the letter and read as follow letter my dear susan it be a long time since i have
face_nn-1960-2010-01,face_nn,1960-2010,21547,7,i have black hair a thin irish [face]
face_nn-1960-2010-02,face_nn,1960-2010,89704,9,he rarely speak to the officer be not a [face] or a name that anyone would ever single out
face_nn-1960-2010-03,face_nn,1960-2010,261656,10,from breakfast to midnight our voice sound familiar and our [face] smile or frown into millions of home until we could go nowhere at all without recognition
face_nn-1960-2010-04,face_nn,1960-2010,311960,4,the star keep straight [face] and hold the viewer 's eye through every narrative absurdity and the film be handsome weirde certainly funny than hardly
fiction_nn-1810-1860-01,fiction_nn,1810-1860,15631,17,the weighty moral with which they be load indeed frequently press heavily on the light vehicle of [fiction] give it a coarse business air while the perpetual accommodation of the intrigue to the moral often produce an appearance
fiction_nn-1810-1860-02,fiction_nn,1810-1860,99135,18,few judicious person would probably hesitate to pronounce such a character impossible in nature and as much the [fiction] of a wild imagination as the ogre with an elephant 's head in the arabian night or the beautiful sea-maid
fiction_nn-1810-1860-03,fiction_nn,1810-1860,166276,16,and she have read their work particularly those of scott and of the other writer of [fiction] and could readily sympathize with flora in her appreciation of romantic character
fiction_nn-1810-1860-04,fiction_nn,1810-1860,214761,5,when i hear that idle [fiction] of a murder have nun the form of constance rush have athwart my brain and have unnerve me even to
fiction_nn-1960-2010-01,fiction_nn,1960-2010,72024,6,nonfiction good nonfiction title outnumber good [fiction] this season
fiction_nn-1960-2010-02,fiction_nn,1960-2010,100450,13,author affiliation india edghill live in upstate new york and have sell short [fiction] to catfantastic iv marion zimmer bradley 's fantasy magazine and other anthology and magazine
fiction_nn-1960-2010-03,fiction_nn,1960-2010,146164,18,the battle be not over shore up the wane prestige of the novel no matter how strenuously new [fiction] be celebrate book will continue to lag behind the chic celebrity of popular music and the movie
fiction_nn-1960-2010-04,fiction_nn,1960-2010,265770,29,blind date 1977 the vengeful wanderer tarden of cockpit 1975 and the haunt boy in kosinski 's first and best [fiction] the paint bird
gas_nn-1810-1860-01,gas_nn,1810-1860,91106,20,require little oxygen they could have exist in an atmosphere contain a less proportion of that gas to carbonic acid [gas] than what now obtain
gas_nn-1810-1860-02,gas_nn,1810-1860,105276,36,and metallic mercury if this substance be heat in a tube hermetically seal the decomposition occur as before but the [gas] unable to escape and shut up in a space several hundred time small than it
gas_nn-1810-1860-03,gas_nn,1810-1860,218064,11,in the course of these experiment he become acquaint with nitrogen [gas] or as he call it // phlogistic air which be discover by him and dr.-i rutherford at the same time
gas_nn-1810-1860-04,gas_nn,1810-1860,253628,15,coal have be convert to another use the lighting of street and pyblic building by [gas]
gas_nn-1960-2010-01,gas_nn,1960-2010,106001,6,suddenly she scream step on the [gas] and pull the car forward knock down a barricade and barely miss the guard
gas_nn-1960-2010-02,gas_nn,1960-2010,179079,1,the [gas] have long be recognize as a health threat to uranium miner who suffer abnormally high rate of lung cancer
gas_nn-1960-2010-03,gas_nn,1960-2010,256594,7,the two man be separate from the [gas] explosion by three wall two of brick and one of concrete in the basement of the structure at 89-11 153d
gas_nn-1960-2010-04,gas_nn,1960-2010,264225,0,[gas] shortage become inure to pump price of more than 50 per <nul>
graft_nn-1810-1860-01,graft_nn,1810-1860,21338,3,23 a the [graft] be split in the middle and each side thin away with the knife as in <nul>
graft_nn-1810-1860-02,graft_nn,1810-1860,91861,3,but when a [graft] be take from one of these tree and place upon another stock this graft tree be find to lose its
graft_nn-1810-1860-03,graft_nn,1810-1860,113418,45,prove that although we may once in a thousand trial * succeed in effect these ill assorted union yet the [graft] invariably die after a few month <nul>
graft_nn-1810-1860-04,graft_nn,1810-1860,149695,2,when the [graft] be set it be to be bind with bass-string begin at the bottom and wind it upwards in a gradual
graft_nn-1960-2010-01,graft_nn,1960-2010,61984,2,when these [graft] have be complete by dr.-i leape the second operation be over
graft_nn-1960-2010-02,graft_nn,1960-2010,117818,9,president thieu manage to keep his fingerprint off the [graft] until just before the collapse when time magazine report that he have unsuccessfully attempt to airfreight out of saigon $73
graft_nn-1960-2010-03,graft_nn,1960-2010,282274,4,clarkin can revise those [graft] or replace them
graft_nn-1960-2010-04,graft_nn,1960-2010,341673,16,employee be describe by the investigation department as rare evidence in black and white of petty [graft] in municipal government
head_nn-1810-1860-01,head_nn,1810-1860,33135,15,a reform be then inevitable and the evil have be allow to attain such a [head] that half measure will be // of no avail
head_nn-1810-1860-02,head_nn,1810-1860,150429,11,the poor widow already nearly weigh down by misfortune bow her [head] in silence at this new stroke utter few complaint greet her son on his return home with few reproach save
head_nn-1810-1860-03,head_nn,1810-1860,160377,20,this be the first time that he have ever audibly allude to that event and she thrill and shiver from [head] to foot as he do so now
head_nn-1810-1860-04,head_nn,1810-1860,240681,45,hot ash and die ember with callous foot and stand over the light lift his cap and expose the bare [head] and weather-beaten feature of the leather-stocking
head_nn-1960-2010-01,head_nn,1960-2010,38726,4,the man bob his [head] take a chair and hold out his hand
head_nn-1960-2010-02,head_nn,1960-2010,173921,2,move your [head] move your sternum too and that be what define where the low point of a pendulum-type stroke occur in this
head_nn-1960-2010-03,head_nn,1960-2010,215194,36,on a crowded street or a desertedstretch of beach with a knife in the side or a bullet in the [head]
head_nn-1960-2010-04,head_nn,1960-2010,298672,11,mr.- fulton at once catch jerry 's idea and nod his [head] approvingly
land_nn-1810-1860-01,land_nn,1810-1860,93806,13,' t be a fair land niece of mine a fair and lovely [land] a land of dream a land of magnificent vision overshadow by yon blue mountain of romance
land_nn-1810-1860-02,land_nn,1810-1860,108915,13,myself the pleasure to enclose to you a plot of a tract of [land] which have be cultivate in an unusual manner for this country and which be abandon by its cultivator age ago
land_nn-1810-1860-03,land_nn,1810-1860,168031,11,"amount to $3,104,646 and the total advance to government on the [land] and malt tax and exchequer bill amount to 9,991,678 or <nul> but in 1786 the sum be reduce to 6,634,872"
land_nn-1810-1860-04,land_nn,1810-1860,206325,23,of the rock series refer to an era distinguish by an event of no less importance than the commencement of [land] animal
land_nn-1960-2010-01,land_nn,1960-2010,128600,6,such unpretentiousness be rare in a [land] of easy corruption
land_nn-1960-2010-02,land_nn,1960-2010,169567,19,on the other hand crusoe 's island may be so small or so barren that all his available useful [land] or water area must be press into use
land_nn-1960-2010-03,land_nn,1960-2010,277819,1,much [land] from the great lake to the north to the big river to the south they mark to us forever
land_nn-1960-2010-04,land_nn,1960-2010,284453,1,the [land] fall away abruptly at that point on the ridgeline give the illusion at night that one be perch on the
lane_nn-1810-1860-01,lane_nn,1810-1860,119362,36,the corso and the via della ripetta and though chill narrow gloomy and border with tall and shabby structure the [lane] be not a whit more disagreeable than nine tenths of the roman street
lane_nn-1810-1860-02,lane_nn,1810-1860,123187,20,exclaim kavanagh how could i know that you would be go up the ladder just as i come down the [lane]
lane_nn-1810-1860-03,lane_nn,1810-1860,171370,11,the ponderous vehicle stop short the guard close up form a [lane] from
lane_nn-1810-1860-04,lane_nn,1810-1860,241391,15,have you see captain herbert tracy 's mind as he then ride along the sequester [lane] at the head of his gallant band you would have discover many a bitter
lane_nn-1960-2010-01,lane_nn,1960-2010,6442,45,moscow petersburg a story by macdonald harris 65 stockholm a city of white night and frozen abstract demon the campus [lane] be the nevsky prospekt
lane_nn-1960-2010-02,lane_nn,1960-2010,26907,1,john [lane] have set his last will and testament down on august 8 1868
lane_nn-1960-2010-03,lane_nn,1960-2010,252933,3,the highway three [lane] wide roll out away from the capital
lane_nn-1960-2010-04,lane_nn,1960-2010,313074,16,at four sparrow marsh above on the western side some 80 acre lie right off six [lane] of frantic traffic
lass_nn-1810-1860-01,lass_nn,1810-1860,92967,7,keep thy hood close and let the [lass] alone and it may save thy neck
lass_nn-1810-1860-02,lass_nn,1810-1860,104967,11,but where be the woman with the blue tire and the [lass] cake
lass_nn-1810-1860-03,lass_nn,1810-1860,169930,12,naething tam reply the other but i have to tak ' some [lass] hame frae the market and i think i would come back an ' see some mair o ' the fun
lass_nn-1810-1860-04,lass_nn,1810-1860,188626,28,place he accost them with a gentle voice say a complimentary word for their sign-board with its full-length sailor 's [lass]
lass_nn-1960-2010-01,lass_nn,1960-2010,4407,19,particular portion of the film such as dissect frog in biology class mock marriage in a sex education e [lass] a beer party and the election of homecoming queen produce raucous laughter
lass_nn-1960-2010-02,lass_nn,1960-2010,218206,1,a [lass] or group of pupil and their teacher function as a community of enquiry prentice 1991
lass_nn-1960-2010-03,lass_nn,1960-2010,255650,4,just a simple fisher [lass] head home nothing more
lass_nn-1960-2010-04,lass_nn,1960-2010,267768,7,after a moment 's silence he say [lass] he can not be bury in consecrated ground
multitude_nn-1810-1860-01,multitude_nn,1810-1860,10878,8,grandfather the alarm bell ring and an immense [multitude] rush into king street
multitude_nn-1810-1860-02,multitude_nn,1810-1860,27129,21,reply your home be before you declare for the presence of a spirit which soon make itself acknowledge by the [multitude]
multitude_nn-1810-1860-03,multitude_nn,1810-1860,69868,130,fashion dirk have learn from some popular character or other find it take vastly with the great portion of the [multitude] who it be well know be most gratify when they have it in their power to boast that they be
multitude_nn-1810-1860-04,multitude_nn,1810-1860,242495,53,her fealty to those who like the sun-descended incas be thus endow with the peculiar right to govern the undistinguished [multitude] over a land thus favor but now alas
multitude_nn-1960-2010-01,multitude_nn,1960-2010,71483,17,and when he and his father at last leave the school and go into the snow the [multitude] of flake seem to have be releasedby his profanation
multitude_nn-1960-2010-02,multitude_nn,1960-2010,83032,18,do not sound of music linger entrancingly on the ear whether it be make by man or the [multitude] of the voice of nature
multitude_nn-1960-2010-03,multitude_nn,1960-2010,237540,2,we be [multitude] in pennsylvania mine in alaskan cannery
multitude_nn-1960-2010-04,multitude_nn,1960-2010,249788,8,they be there for a reason actually a [multitude] of reason
ounce_nn-1810-1860-01,ounce_nn,1810-1860,26292,35,of black pepper half an ounce of nutmeg a quarter of an ounce of mace and a quarter of an [ounce] of clove
ounce_nn-1810-1860-02,ounce_nn,1810-1860,88631,18,to a hundred walnut allow a gallon of vinegar an ounce of clove an ounce of allspice an [ounce] of black pepper half an ounce of mace and half an ounce of nutmeg
ounce_nn-1810-1860-03,ounce_nn,1810-1860,110261,6,take of conserve of orange-peel two [ounce] of cinnabar of antimony levigated an ounce and a half of gum guaiac in powder an ounce of winter 's
ounce_nn-1810-1860-04,ounce_nn,1810-1860,203840,42,would then be next to a miracle if silver do not rise to above five shilling and two pence per [ounce] in the market in proportion to the balance of debt against them and their trade circumstance continue to decline as
ounce_nn-1960-2010-01,ounce_nn,1960-2010,111949,10,ho charge that the administration-proposed tax will n't save an [ounce] of gasoline before throw out the standby gas tax the committee vote 10 to 17 to repeat the long-standing income
ounce_nn-1960-2010-02,ounce_nn,1960-2010,135451,49,fruit a-day for the first week then two ounce of bread and four of fruit for another week then three [ounce] of bread and six of fruit for a month
ounce_nn-1960-2010-03,ounce_nn,1960-2010,171916,6,// yield 1 1/2 quart 8 [ounce] have about 45 calory
ounce_nn-1960-2010-04,ounce_nn,1960-2010,206389,6,now mix a solution of 1 [ounce] of borax or soda to every gallon of lukewarm water
part_nn-1810-1860-01,part_nn,1810-1860,28795,2,peculiarly prominent [part] in the whole affair of the slave question they flock to him as their patron and he after much reflection
part_nn-1810-1860-02,part_nn,1810-1860,130099,33,express minerva 's contest with neptune about who should name the city of athens of which there only remain a [part] of a <nul>
part_nn-1810-1860-03,part_nn,1810-1860,159080,9,but now // we can say that those whose [part] and province it be to do this work have do it and do it well
part_nn-1810-1860-04,part_nn,1810-1860,199998,14,such recusant colony would have stand precisely as do the canadas and every other [part] of the british empire
part_nn-1960-2010-01,part_nn,1960-2010,11065,11,or he will put one part of cold water into three [part] of boiling water
part_nn-1960-2010-02,part_nn,1960-2010,171717,20,today say belgian diplomat jean-paul van bellinghen our only enemy be among us-those who be not ready to sacrifice a [part] of their independence to cooperate in a common work
part_nn-1960-2010-03,part_nn,1960-2010,214268,0,[part] of the reason be practi- cal compose a successful capriccio hone a painter 's skill in composition since the capriccio
part_nn-1960-2010-04,part_nn,1960-2010,298445,2,it be [part] of the etiquette of the medical profession in the united state that physician abstain from smoke during an interview examination
pin_vb-1810-1860-01,pin_vb,1810-1860,37926,26,a prisoner mammy sit down and take the child in her lap she take off her own warm shawl and [pin] it carefully around her and as she stoop to kiss her agnes see the tear upon her cheek
pin_vb-1810-1860-02,pin_vb,1810-1860,99065,9,carefully cover him with the thin tattered blanket she [pin] a shawl over her head and softly close the door behind her steal forth into the bite night air and
pin_vb-1810-1860-03,pin_vb,1810-1860,132904,16,cry the husband spring upon them with a furious bind and his sword in an instant [pin] the wife and the wretch fialto to the door
pin_vb-1810-1860-04,pin_vb,1810-1860,227983,18,must make the best selection they therefore forego the trouble of form an opinion of their own and [pin] their faith upon the decision or rather the practice of the amateur
pin_vb-1960-2010-01,pin_vb,1960-2010,87482,37,too but i could n't run away scream the way i want to i just force bob to the ground [pin] his arm to his side and kneel on his
pin_vb-1960-2010-02,pin_vb,1960-2010,105446,9,dessa 's voice override the tearful wail seem to [pin] the white woman in the chair
pin_vb-1960-2010-03,pin_vb,1960-2010,132519,5,every time he try to [pin] the think into position to guide it into focus it slip away elude him
pin_vb-1960-2010-04,pin_vb,1960-2010,351600,2,to be [pin] here so near his goal fasten up as a target for an inanimate but cunningly fashion weapon eat into him
plane_nn-1810-1860-01,plane_nn,1810-1860,2837,101,figure or object touch the plane on which it be to be project the place where it touch the projecting [plane] be the projection of that point line or plane of the original figure or object
plane_nn-1810-1860-02,plane_nn,1810-1860,15956,3,reciprocally if a [plane] be parallel to the ground-line its two trace will be parallel to the ground-line
plane_nn-1810-1860-03,plane_nn,1810-1860,25703,10,if a plane be parallel to the horizontal plane this [plane] will not have a horizontal trace and its vertical trace will be parallel to the ground-line
plane_nn-1810-1860-04,plane_nn,1810-1860,153439,20,/z/ all object situate on the earth be in perspective say to be on the same plane call the ground [plane]
plane_nn-1960-2010-01,plane_nn,1960-2010,49692,11,all right then she say and tell us which gate the [plane]
plane_nn-1960-2010-02,plane_nn,1960-2010,106722,4,although it deploy ground-attack [plane] to fight off an invasion by iraqi tank the air force decide that the best defense be a good offense
plane_nn-1960-2010-03,plane_nn,1960-2010,226558,18,a .50 caliber pepper the plane with little hole and if one hit a sensitive part of the [plane] it may crash
plane_nn-1960-2010-04,plane_nn,1960-2010,234883,16,it seem to me a very human sound much more human than the sound of jet [plane] and thunder always remind me of what it feel like to be young
player_nn-1810-1860-01,player_nn,1810-1860,18212,10,society have raise a bar between the preacher and the [player] perhaps it would have be better have it never exist but as it be i would not advise your son
player_nn-1810-1860-02,player_nn,1810-1860,22411,7,mrs.- spiffard as be usual with most [player] pass the morning until late in bed
player_nn-1810-1860-03,player_nn,1810-1860,93746,45,public the hindrance to youthful ambition the lonely hour of intense study the difficulty attend the early effort of the [player] the jealousy and rivalry engender with their long train of concomitant evil be subject with which almost every performer be
player_nn-1810-1860-04,player_nn,1810-1860,115593,28,the ball with his bat but if he strike it so that it be catch by any of the other [player] he be out
player_nn-1960-2010-01,player_nn,1960-2010,225977,8,uncannily position in camera range as he glad-hands [player]
player_nn-1960-2010-02,player_nn,1960-2010,242435,20,dufresne whom lady rhys have allude to as a most agreeable woman even if she do walk bowlegged as cello [player] tend to do
player_nn-1960-2010-03,player_nn,1960-2010,328571,10,a policy that allow unarmed somali to emerge as political [player] and change the somali power balance should have be in effect from the start
player_nn-1960-2010-04,player_nn,1960-2010,350413,2,of pay [player] and owner of exhibition baseball with the game
prop_nn-1810-1860-01,prop_nn,1810-1860,32766,31,which purge the dross of selfishness away and deep he feel that woman 's trusting heart rent from the cherish [prop] which next to christ have be her stay in all adversity would take the balm-cup best from that dear hand
prop_nn-1810-1860-02,prop_nn,1810-1860,58191,24,shield me at the peril of thyself and in the seeming dread necessity do the deed that from its delicate [prop] shake the fair fabric of thy innocent life
prop_nn-1810-1860-03,prop_nn,1810-1860,169078,14,how impotent it must have confess their aid to be who have no better [prop] and buttress to construct than these
prop_nn-1810-1860-04,prop_nn,1810-1860,208127,7,have me its brightest hope its future [prop]
prop_nn-1960-2010-01,prop_nn,1960-2010,37958,5,in the absence of ideological [prop] such compositional arrangement will be all the more need
prop_nn-1960-2010-02,prop_nn,1960-2010,38204,20,she can sit on a rock horse or a tiny wicker chair and ms.- simson will style the portrait with [prop] including porcelain doll flower or marble ball
