item_id,sample_id,corpus,target,context
G2-049,1960-2010-tree_nn-92189-21,1960-2010,tree_nn,little world out of nothing few intimation of lucille ball s character and career can be find on her family [tree]
G2-050,1810-1860-tree_nn-64912-35,1810-1860,tree_nn,a sufficient retribution for his sin that after so long a lapse of year the old trunk of the family [tree] with so much venerable moss upon it should have bear as its topmost bough an idler like myself
G2-051,1960-2010-graft_nn-48373-1,1960-2010,graft_nn,skin [graft] from someone else or acquire someone else s kidney
G2-052,1810-1860-tree_nn-40388-38,1810-1860,tree_nn,and have lodge there from time to time various sort of refuse such as old leaf branch and root of [tree] and the like encumbrance to the smooth flow of its water
G2-053,1960-2010-graft_nn-203422-14,1960-2010,graft_nn,for year as editor publisher of a rural north carolina weekly he unremittingly fight [graft] corruption red neck segregationist pharisee of all kinds and some libel suit
G2-054,1960-2010-graft_nn-5793-21,1960-2010,graft_nn,nicaraguan business be inefficient and corrupt and that it do n't know how to make a profit except from government [graft] be really old news lacayo say
G2-055,1960-2010-graft_nn-126485-20,1960-2010,graft_nn,when any vertebrate animal be invade by foreign proteins whether bacterium virus or tissue from another animal as in a [graft] or transplant the invader soon meet one of the host s body cell that be arm with the appropriate antibody
G2-056,1960-2010-graft_nn-126770-39,1960-2010,graft_nn,steel rod the surgeon perform the delicate task of harvest a chest artery to be use in a heart bypass [graft]
G2-057,1960-2010-graft_nn-19531-4,1960-2010,graft_nn,but when the big [graft] scandal come up there in waynesville fisher would n't prosecute
G2-058,1960-2010-graft_nn-22580-8,1960-2010,graft_nn,proceeding in which not only be there wholesale [graft] payment to the new orleans police to purchase immunity for racket operation but some police official actually be in the
G2-059,1960-2010-graft_nn-171595-3,1960-2010,graft_nn,patient with function [graft] have an average survival of around two and a half year and those live more than five year be not
G2-060,1960-2010-tree_nn-2815-31,1960-2010,tree_nn,be and it also go a long way toward explain why today s turkey gun be branch from the family [tree]
G2-061,1960-2010-tree_nn-101886-29,1960-2010,tree_nn,house past more palm and a stunning specimen palo brea tree cercidium praecox you enter a small grove of fruit [tree] plant not only to provide orange grapefruit lemon and lime but also
G2-062,1960-2010-tree_nn-142375-35,1960-2010,tree_nn,on a slender stalk and look at its pretty reflection in the water and on the other a sturdy pine [tree] well root against wind and storm
G2-063,1960-2010-tree_nn-24371-15,1960-2010,tree_nn,or simply click browse select the folder of your choice from the drive and folder [tree] diagram and click ok next click ok to close the my document property dialog box
G2-064,1960-2010-graft_nn-63973-12,1960-2010,graft_nn,ritai do n't understand the functional difference between neutral field and normal [graft] tissue doctor
G2-065,1960-2010-tree_nn-111718-15,1960-2010,tree_nn,there be not a thing about the white man or the white man s family [tree] that she
G2-066,1810-1860-tree_nn-250384-12,1810-1860,tree_nn,mr emerson say of it the american holly be a handsome low [tree] with nearly horizontal branch and thorny evergreen leaf
G2-067,1960-2010-graft_nn-246414-10,1960-2010,graft_nn,ballast valve as she go on outline the implant and [graft] surgery and mutilation need to turn a live zaratan into an animatronic corpse a part of her be amazed at
G2-068,1960-2010-tree_nn-181897-16,1960-2010,tree_nn,they sit for a long time without talk look at the winter wood vertical line bare [tree] trunk blank wait to be fill in when the spring come
G2-069,1960-2010-graft_nn-140987-11,1960-2010,graft_nn,medicine watch carefully for rejection after transfusion organ transplant and bone [graft]
G2-070,1960-2010-graft_nn-44069-14,1960-2010,graft_nn,external fixation device stabilize bone while avoid physes and allow access to wound skin [graft] and muscle flap see figure
G2-071,1960-2010-tree_nn-305241-35,1960-2010,tree_nn,to the ground and his young son be throw the fruit against a target fix on the trunk of the [tree]
G2-072,1810-1860-tree_nn-240074-19,1810-1860,tree_nn,and such story will serve as admirable fecund matter for the ingenuity of those small artist who draw genealogical [tree] and for those enterprising foreman of coach painter and card engraver who contrive coats of arms
G2-073,1960-2010-tree_nn-144618-21,1960-2010,tree_nn,ours shall be the houri with large dark eye like pearl hide in their shell forever young forever virgin amid [tree] clad with fruit and in extend shade and by flow water never grow old forev the rifle butt pulverize his
G2-074,1810-1860-tree_nn-132434-8,1810-1860,tree_nn,this be indeed an excellent manure for fruit [tree] in all case with ordinary soil
G2-075,1960-2010-graft_nn-299681-20,1960-2010,graft_nn,the name of policeman who discuss corruption with the time be be withhold to in addition to instance of outright [graft] the police department be trouble by a corrosive atmosphere and official inaction that according to source within the
G2-076,1960-2010-graft_nn-138059-17,1960-2010,graft_nn,txt corruption in the new york police department which reportedly involve millions of dollar a year in [graft] have create an atmosphere of suspicion distrust and fear for many new york policeman police source report
G2-077,1960-2010-tree_nn-12517-44,1960-2010,tree_nn,american receive healthful nourishing food as they live out meaningful productive live mainly by plant garden and orchard of rubber [tree]
G2-078,1960-2010-graft_nn-71270-17,1960-2010,graft_nn,the dismissal last month of the commandant and two other general of the provincial police reportedly for [graft]
G2-079,1960-2010-graft_nn-312761-3,1960-2010,graft_nn,not only for [graft] and transplant but also for cancer control
G2-080,1960-2010-tree_nn-58347-19,1960-2010,tree_nn,s mother have die year before he be an only child on a dead end branch of the family [tree]
G2-081,1810-1860-tree_nn-128839-6,1810-1860,tree_nn,every leaf bud on a fruit [tree] may be regard as an embryo branch and capable of form a tree when supply kill it
G2-082,1960-2010-graft_nn-224531-5,1960-2010,graft_nn,i hear about the skin [graft] from dick adams of our staff who have nul luke s on his beat
G2-083,1810-1860-tree_nn-125946-23,1810-1860,tree_nn,school cleverly into operation the second time hold it in the wood behind the barn and in the shade of [tree] i succeed in induce a free color man who live several mile from our house to permit me to hold
G2-084,1960-2010-graft_nn-207164-14,1960-2010,graft_nn,txt a mystery witness fail to appear yesterday before a grand jury investigate a [graft] conspiracy that be repute to extend high into the police department
G2-085,1810-1860-tree_nn-15542-27,1810-1860,tree_nn,of land that stretch into the swamp from the bosom of which on either side arise a forest of lofty [tree] whose topmost branch be trace upon the sky with that bold configuration that may be remark at the twilight while
G2-086,1960-2010-tree_nn-109253-25,1960-2010,tree_nn,the variety of crop that would be grow name those that could be plant in the shade of the remaining [tree] and those that would require full sunlight
G2-087,1810-1860-tree_nn-102820-28,1810-1860,tree_nn,have lose their tent and provision take counsel if they should not make hut of the branch and leaf of [tree] near to the town and be thunderstruck when they hear that the countess herself have plan and execute this enterprise
