item_id,target,context,label,confidence,notes
G2-043,tree_nn,continue along the path to the back of the house past more palm and a stunning specimen palo brea [tree] cercidium praecox you enter a small grove of fruit tree plant not only to provide orange grapefruit lemon and lime,plant,high,
G2-044,tree_nn,steph open it to the family [tree] page her left hand tremble,diagram,high,
G2-045,tree_nn,limb of one of the fruit [tree] and it be then i realize we be close to the orchard and i think to myself this be n't,plant,high,
G2-046,tree_nn,in this way they all subsequently become fruit bearer without crowd the [tree] with a confuse mass of branch like those of a shear hedge,plant,high,
G2-047,graft_nn,builder architect and union official who provide information on [graft] during a six week investigation by the new york time into corruption estimate to cost million a year also describe,corruption,high,
G2-048,tree_nn,sunbeam flash through the dark foliage while its leaf blend their soften tint above and we call it a graceful [tree] an ornament to the wood,plant,high,
G2-049,tree_nn,little world out of nothing few intimation of lucille ball s character and career can be find on her family [tree],diagram,high,
G2-050,tree_nn,a sufficient retribution for his sin that after so long a lapse of year the old trunk of the family [tree] with so much venerable moss upon it should have bear as its topmost bough an idler like myself,diagram,high,
G2-051,graft_nn,skin [graft] from someone else or acquire someone else s kidney,medical,high,
G2-052,tree_nn,and have lodge there from time to time various sort of refuse such as old leaf branch and root of [tree] and the like encumbrance to the smooth flow of its water,plant,high,
G2-053,graft_nn,for year as editor publisher of a rural north carolina weekly he unremittingly fight [graft] corruption red neck segregationist pharisee of all kinds and some libel suit,corruption,high,
G2-054,graft_nn,nicaraguan business be inefficient and corrupt and that it do n't know how to make a profit except from government [graft] be really old news lacayo say,corruption,high,
G2-055,graft_nn,when any vertebrate animal be invade by foreign proteins whether bacterium virus or tissue from another animal as in a [graft] or transplant the invader soon meet one of the host s body cell that be arm with the appropriate antibody,medical,high,
G2-056,graft_nn,steel rod the surgeon perform the delicate task of harvest a chest artery to be use in a heart bypass [graft],medical,high,
G2-057,graft_nn,but when the big [graft] scandal come up there in waynesville fisher would n't prosecute,corruption,high,
G2-058,graft_nn,proceeding in which not only be there wholesale [graft] payment to the new orleans police to purchase immunity for racket operation but some police official actually be in the,corruption,high,
G2-059,graft_nn,patient with function [graft] have an average survival of around two and a half year and those live more than five year be not,medical,high,
G2-060,tree_nn,be and it also go a long way toward explain why today s turkey gun be branch from the family [tree],diagram,high,
G2-061,tree_nn,house past more palm and a stunning specimen palo brea tree cercidium praecox you enter a small grove of fruit [tree] plant not only to provide orange grapefruit lemon and lime but also,plant,high,
G2-062,tree_nn,on a slender stalk and look at its pretty reflection in the water and on the other a sturdy pine [tree] well root against wind and storm,plant,high,
G2-063,tree_nn,or simply click browse select the folder of your choice from the drive and folder [tree] diagram and click ok next click ok to close the my document property dialog box,diagram,high,
G2-064,graft_nn,ritai do n't understand the functional difference between neutral field and normal [graft] tissue doctor,medical,high,
G2-065,tree_nn,there be not a thing about the white man or the white man s family [tree] that she,diagram,high,
G2-066,tree_nn,mr emerson say of it the american holly be a handsome low [tree] with nearly horizontal branch and thorny evergreen leaf,plant,high,
G2-067,graft_nn,ballast valve as she go on outline the implant and [graft] surgery and mutilation need to turn a live zaratan into an animatronic corpse a part of her be amazed at,medical,high,
G2-068,tree_nn,they sit for a long time without talk look at the winter wood vertical line bare [tree] trunk blank wait to be fill in when the spring come,plant,high,
G2-069,graft_nn,medicine watch carefully for rejection after transfusion organ transplant and bone [graft],medical,high,
G2-070,graft_nn,external fixation device stabilize bone while avoid physes and allow access to wound skin [graft] and muscle flap see figure,medical,high,
G2-071,tree_nn,to the ground and his young son be throw the fruit against a target fix on the trunk of the [tree],plant,high,
G2-072,tree_nn,and such story will serve as admirable fecund matter for the ingenuity of those small artist who draw genealogical [tree] and for those enterprising foreman of coach painter and card engraver who contrive coats of arms,plant,high,
G2-073,tree_nn,ours shall be the houri with large dark eye like pearl hide in their shell forever young forever virgin amid [tree] clad with fruit and in extend shade and by flow water never grow old forev the rifle butt pulverize his,plant,high,
G2-074,tree_nn,this be indeed an excellent manure for fruit [tree] in all case with ordinary soil,plant,high,
G2-075,graft_nn,the name of policeman who discuss corruption with the time be be withhold to in addition to instance of outright [graft] the police department be trouble by a corrosive atmosphere and official inaction that according to source within the,corruption,high,
G2-076,graft_nn,txt corruption in the new york police department which reportedly involve millions of dollar a year in [graft] have create an atmosphere of suspicion distrust and fear for many new york policeman police source report,corruption,high,
G2-077,tree_nn,american receive healthful nourishing food as they live out meaningful productive live mainly by plant garden and orchard of rubber [tree],plant,high,
G2-078,graft_nn,the dismissal last month of the commandant and two other general of the provincial police reportedly for [graft],corruption,high,
G2-079,graft_nn,not only for [graft] and transplant but also for cancer control,medical,high,
G2-080,tree_nn,s mother have die year before he be an only child on a dead end branch of the family [tree],diagram,high,
G2-081,tree_nn,every leaf bud on a fruit [tree] may be regard as an embryo branch and capable of form a tree when supply kill it,plant,high,
G2-082,graft_nn,i hear about the skin [graft] from dick adams of our staff who have nul luke s on his beat,medical,high,
G2-083,tree_nn,school cleverly into operation the second time hold it in the wood behind the barn and in the shade of [tree] i succeed in induce a free color man who live several mile from our house to permit me to hold,plant,high,
G2-084,graft_nn,txt a mystery witness fail to appear yesterday before a grand jury investigate a [graft] conspiracy that be repute to extend high into the police department,corruption,high,
G2-085,tree_nn,of land that stretch into the swamp from the bosom of which on either side arise a forest of lofty [tree] whose topmost branch be trace upon the sky with that bold configuration that may be remark at the twilight while,plant,high,
G2-086,tree_nn,the variety of crop that would be grow name those that could be plant in the shade of the remaining [tree] and those that would require full sunlight,plant,high,
G2-087,tree_nn,have lose their tent and provision take counsel if they should not make hut of the branch and leaf of [tree] near to the town and be thunderstruck when they hear that the countess herself have plan and execute this enterprise,plant,high,
